Test name, Fit method, Elapsed time (ms)
fit, BBVI, 4366
predict, BBVI, 9
predict_is, BBVI, 4137
sample, BBVI, 126
ppc, BBVI, 255
fit, BBVI, 4207
predict, BBVI, 0
predict_is, BBVI, 4251
sample, BBVI, 129
ppc, BBVI, 265
